N,1st Run,2nd Run,3rd Run,Average,Value 1,Value 2,Value 3,Weight 1,Weight 2,Weight 3
1000,3310,3821,3645,3592,3310,3821,3645,961,974,918
2000,4300,4059,3727,4028.6666666666665,4300,4059,3727,961,997,907
3000,4090,3897,4195,4060.6666666666665,4090,3897,4195,963,989,985
4000,4186,4374,4151,4237,4186,4374,4151,993,981,980
5000,4188,4220,4327,4245,4188,4220,4327,935,952,998
6000,4040,4246,4297,4194.333333333333,4040,4246,4297,937,941,977
7000,4339,4263,4061,4221,4339,4263,4061,955,982,1000
8000,4337,4262,4246,4281.666666666667,4337,4262,4246,971,948,925
9000,4350,4295,4304,4316.333333333333,4350,4295,4304,997,932,944
10000,4326,4255,4353,4311.333333333333,4326,4255,4353,956,958,959
11000,4258,4374,4302,4311.333333333333,4258,4374,4302,921,919,941
12000,4365,4397,4314,4358.666666666667,4365,4397,4314,944,942,932
13000,4349,4297,4357,4334.333333333333,4349,4297,4357,928,945,962
14000,4318,4336,4383,4345.666666666667,4318,4336,4383,937,922,933
15000,4322,4331,4327,4326.666666666667,4322,4331,4327,942,931,919
16000,4301,4327,4362,4330,4301,4327,4362,939,935,928
17000,4385,4383,4285,4351,4385,4383,4285,919,929,931
18000,4346,4341,4400,4362.333333333333,4346,4341,4400,940,951,937
19000,4250,4392,4299,4313.666666666667,4250,4392,4299,928,940,930
20000,4408,4375,4373,4385.333333333333,4408,4375,4373,926,938,923
21000,4420,4370,4344,4378,4420,4370,4344,921,927,935
22000,4362,4415,4319,4365.333333333333,4362,4415,4319,919,919,927
23000,4385,4370,4378,4377.666666666667,4385,4370,4378,923,942,912
24000,4322,4391,4411,4374.666666666667,4322,4391,4411,925,915,933
25000,4313,4389,4430,4377.333333333333,4313,4389,4430,922,923,926
26000,4347,4422,4376,4381.666666666667,4347,4422,4376,921,947,927
27000,4339,4366,4367,4357.333333333333,4339,4366,4367,917,918,910
28000,4398,4369,4439,4402,4398,4369,4439,924,926,925
29000,4396,4401,4362,4386.333333333333,4396,4401,4362,926,913,922
30000,4396,4409,4385,4396.666666666667,4396,4409,4385,950,926,924
31000,4354,4387,4434,4391.666666666667,4354,4387,4434,913,925,917
32000,4403,4314,4348,4355,4403,4314,4348,926,921,934
33000,4387,4384,4357,4376,4387,4384,4357,918,921,920
34000,4362,4355,4406,4374.333333333333,4362,4355,4406,913,918,920
35000,4420,4415,4332,4389,4420,4415,4332,918,918,913
36000,4363,4344,4404,4370.333333333333,4363,4344,4404,924,923,919
37000,4416,4416,4380,4404,4416,4416,4380,914,920,910
38000,4422,4438,4398,4419.333333333333,4422,4438,4398,911,922,920
39000,4302,4400,4408,4370,4302,4400,4408,912,919,914
40000,4370,4368,4404,4380.666666666667,4370,4368,4404,921,914,918
41000,4374,4406,4401,4393.666666666667,4374,4406,4401,915,928,929
42000,4372,4426,4416,4404.666666666667,4372,4426,4416,909,923,925
43000,4438,4358,4422,4406,4438,4358,4422,923,932,939
44000,4394,4375,4401,4390,4394,4375,4401,908,914,927
45000,4358,4388,4351,4365.666666666667,4358,4388,4351,917,918,915
46000,4377,4409,4439,4408.333333333333,4377,4409,4439,924,921,914
47000,4350,4408,4427,4395,4350,4408,4427,914,923,918
48000,4366,4402,4449,4405.666666666667,4366,4402,4449,915,915,920
49000,4392,4442,4434,4422.666666666667,4392,4442,4434,916,913,912
50000,4397,4375,4431,4401,4397,4375,4431,917,911,923
51000,4410,4430,4387,4409,4410,4430,4387,911,913,914
52000,4421,4357,4401,4393,4421,4357,4401,923,913,911
53000,4429,4424,4336,4396.333333333333,4429,4424,4336,913,925,914
54000,4427,4429,4353,4403,4427,4429,4353,917,910,923
55000,4451,4416,4377,4414.666666666667,4451,4416,4377,907,917,908
56000,4367,4417,4436,4406.666666666667,4367,4417,4436,914,913,911
57000,4422,4387,4420,4409.666666666667,4422,4387,4420,906,910,922
58000,4434,4421,4429,4428,4434,4421,4429,906,920,921
59000,4484,4369,4428,4427,4484,4369,4428,924,918,910
60000,4432,4440,4434,4435.333333333333,4432,4440,4434,916,909,916
61000,4424,4390,4402,4405.333333333333,4424,4390,4402,912,912,919
62000,4419,4427,4394,4413.333333333333,4419,4427,4394,926,912,910
63000,4427,4402,4432,4420.333333333333,4427,4402,4432,906,908,909
64000,4410,4384,4454,4416,4410,4384,4454,906,910,912
65000,4444,4449,4419,4437.333333333333,4444,4449,4419,910,927,922
66000,4425,4403,4435,4421,4425,4403,4435,909,902,914
67000,4423,4393,4433,4416.333333333333,4423,4393,4433,908,910,918
68000,4423,4419,4429,4423.666666666667,4423,4419,4429,915,909,923
69000,4405,4402,4370,4392.333333333333,4405,4402,4370,903,911,922
70000,4433,4452,4428,4437.666666666667,4433,4452,4428,913,920,909
71000,4393,4382,4457,4410.666666666667,4393,4382,4457,912,911,909
72000,4441,4432,4434,4435.666666666667,4441,4432,4434,914,908,911
73000,4386,4472,4413,4423.666666666667,4386,4472,4413,907,914,912
74000,4414,4383,4417,4404.666666666667,4414,4383,4417,912,913,912
75000,4452,4445,4437,4444.666666666667,4452,4445,4437,907,909,910
76000,4416,4407,4452,4425,4416,4407,4452,908,916,910
77000,4400,4441,4423,4421.333333333333,4400,4441,4423,902,913,909
78000,4433,4405,4372,4403.333333333333,4433,4405,4372,907,915,918
79000,4438,4405,4457,4433.333333333333,4438,4405,4457,907,912,918
80000,4436,4428,4443,4435.666666666667,4436,4428,4443,912,907,914
81000,4451,4456,4416,4441,4451,4456,4416,909,912,913
82000,4422,4424,4450,4432,4422,4424,4450,907,912,915
83000,4442,4378,4433,4417.666666666667,4442,4378,4433,905,906,916
84000,4414,4464,4461,4446.333333333333,4414,4464,4461,904,910,912
85000,4418,4416,4446,4426.666666666667,4418,4416,4446,916,908,908
86000,4461,4443,4394,4432.666666666667,4461,4443,4394,905,918,910
87000,4472,4426,4441,4446.333333333333,4472,4426,4441,906,911,903
88000,4425,4452,4439,4438.666666666667,4425,4452,4439,908,910,914
89000,4431,4419,4469,4439.666666666667,4431,4419,4469,909,909,919
90000,4423,4436,4443,4434,4423,4436,4443,915,917,909
91000,4446,4441,4413,4433.333333333333,4446,4441,4413,908,909,901
92000,4404,4459,4409,4424,4404,4459,4409,915,908,913
93000,4432,4450,4450,4444,4432,4450,4450,916,909,919
94000,4431,4445,4411,4429,4431,4445,4411,914,912,908
95000,4432,4450,4439,4440.333333333333,4432,4450,4439,908,911,905
96000,4429,4425,4450,4434.666666666667,4429,4425,4450,911,912,907
97000,4434,4417,4452,4434.333333333333,4434,4417,4452,910,907,915
98000,4415,4431,4450,4432,4415,4431,4450,917,907,907
99000,4452,4425,4454,4443.666666666667,4452,4425,4454,916,908,918
100000,4440,4427,4430,4432.333333333333,4440,4427,4430,909,914,914
